Frey,Tywin Frey,/index.php/Tywin_Frey_(son_of_Raymund),1820
Frey,Walda Frey,/index.php/Walda_Frey_(daughter_of_Edwyn),1873
Frey,Waltyr Frey,/index.php/Waltyr_Frey,1897
Frey,Wendel Frey,/index.php/Wendel_Frey,1914
Frey,Whalen Frey,/index.php/Whalen_Frey,1920
Frey,Willamen Frey,/index.php/Willamen_Frey,1928
Frey,Willem Frey,/index.php/Willem_Frey,1936
Frey,Zachery Frey,/index.php/Zachery_Frey,1978
Frey,Zia Frey,/index.php/Zia_Frey,1984
Frey,Aenys Frey,/index.php/Aenys_Frey,2003
Frey,Geremy Frey,/index.php/Geremy_Frey,2018
Hightower,Alerie Hightower,/index.php/Alerie_Hightower,43
Hightower,Alicent Hightower,/index.php/Alicent_Hightower,51
Hightower,Alysanne Hightower,/index.php/Alysanne_Hightower,76
Hightower,Baelor Hightower,/index.php/Baelor_Hightower,149
Hightower,Denyse Hightower,/index.php/Denyse_Hightower,423
Hightower,Garth Hightower,/index.php/Garth_Hightower,603
Hightower,Gunthor Hightower,/index.php/Gunthor_Hightower,680
Hightower,Gwayne Hightower,/index.php/Gwayne_Hightower,687
Hightower,Leyla Hightower,/index.php/Leyla_Hightower,1016
Hightower,Quenton Hightower,/index.php/Quenton_Hightower,1417
Hightower,Runcel Hightower,/index.php/Runcel_Hightower,1577
Hightower,Ceryse Hightower,/index.php/Ceryse_Hightower,2041
Hightower,Jon Hightower,/index.php/Jon_Hightower,2066
Florent,Alester Florent,/index.php/Alester_Florent,47
Florent,Axell Florent,/index.php/Axell_Florent,140
Florent,Colin Florent,/index.php/Colin_Florent,333
Florent,Erren Florent,/index.php/Erren_Florent,540
Florent,Imry Florent,/index.php/Imry_Florent,816
Florent,Melessa Florent,/index.php/Melessa_Florent,1173
Florent,Merrell Florent,/index.php/Merrell_Florent,1192
Florent,Omer Florent,/index.php/Omer_Florent,1307
Florent,Ryam Florent,/index.php/Ryam_Florent,1583
Florent,Rylene Florent,/index.php/Rylene_Florent,1590
Florent,Selyse Florent,/index.php/Selyse_Florent,1625
Tyrell,Alla Tyrell,/index.php/Alla_Tyrell,53
Tyrell,Elinor Tyrell,/index.php/Elinor_Tyrell,509
Tyrell,Garlan Tyrell,/index.php/Garlan_Tyrell,592
Tyrell,Garth Tyrell,/index.php/Garth_Tyrell,605
Tyrell,Gormon Tyrell,/index.php/Gormon_Tyrell,645
Tyrell,Harlen Tyrell,/index.php/Harlen_Tyrell,724
Tyrell,Janna Tyrell,/index.php/Janna_Tyrell,834
Tyrell,Leona Tyrell,/index.php/Leona_Tyrell,1002
Tyrell,Loras Tyrell,/index.php/Loras_Tyrell,1027
Tyrell,Lorent Tyrell,/index.php/Lorent_Tyrell,1032
Tyrell,Lucas Tyrell,/index.php/Lucas_Tyrell,1050
Tyrell,Lyonel Tyrell,/index.php/Lyonel_Tyrell_(lord),1083
Tyrell,Medwick Tyrell,/index.php/Medwick_Tyrell,1161
Tyrell,Mina Tyrell,/index.php/Mina_Tyrell,1201
Tyrell,Moryn Tyrell,/index.php/Moryn_Tyrell,1235
Tyrell,Normund Tyrell,/index.php/Normund_Tyrell,1280
Tyrell,Olene Tyrell,/index.php/Olene_Tyrell,1299
Tyrell,Victaria Tyrell,/index.php/Victaria_Tyrell,1859
Tyrell,Victor Tyrell,/index.php/Victor_Tyrell,1861
Tyrell,Willas Tyrell,/index.php/Willas_Tyrell,1934
Seaworth,Allard Seaworth,/index.php/Allard_Seaworth,56
Seaworth,Dale Seaworth,/index.php/Dale_Seaworth,385
Seaworth,Devan Seaworth,/index.php/Devan_Seaworth,428
Seaworth,Maric Seaworth,/index.php/Maric_Seaworth,1122
Seaworth,Marya Seaworth,/index.php/Marya_Seaworth,1145
Seaworth,Matthos Seaworth,/index.php/Matthos_Seaworth,1154
Seaworth,Stannis Seaworth,/index.php/Stannis_Seaworth,1673
Seaworth,Steffon Seaworth,/index.php/Steffon_Seaworth,1682
Thorne,Alliser Thorne,/index.php/Alliser_Thorne,57
Thorne,Rickard Thorne,/index.php/Rickard_Thorne,1498
